Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
LI FOUNDATION LIMITED,202038445W,Research,08/4/2021,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Leukemia and Lymphoma Foundation,T02SS0150A,"Public awareness, promotion & advisory",12/6/2003,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Diseases/Illnessess Support Group,Ministry of Health
LEONG SAN BUDDHIST TEMPLE,S94CC1027G,Direct Services,14/6/1994,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Leng Kwang Baptist Church,S64SS0021D,,01/8/1985,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KRSNA’S FREE MEALS,T20SS0040A,Direct Services,03/2/2021,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
KINGDOMCITY SINGAPORE LIMITED,201507765H,Training & education,23/9/2016,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
King of Glory Church,T00SS0052C,Direct Services,17/1/2004,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KHOO CHWEE NEO FOUNDATION LTD.,201501865E,Grantmaking,15/7/2015,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Kay Poh Road Baptist Church,S64SS0019L,Training & education,15/4/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KATONG PRESBYTERIAN CHURCH,T12SS0172F,"Financial assistance, bursaries & scholarships",14/4/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KAMPONG KAPOR METHODIST CHURCH,S87CC0537K,"Financial assistance, bursaries & scholarships",03/12/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Kampong Kapor Community Services,T10SS0030D,Direct Services,01/4/2010,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
JURONG CHRISTIAN CHURCH,S89CC0669G,Training & education,06/7/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Jewish Welfare Board, Singapore, The",S62SS0046F,,21/1/1988,"$1,000,000 and <$5,000,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
ISHINE CLOUD LIMITED,201735206Z,Direct Services,23/4/2018,"$1,000,000 and <$5,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
INTERCULTURAL THEATRE INSTITUTE LTD.,200818680E,Direct Services,17/11/2009,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
IMPART LTD.,201926170N,"Public awareness, promotion & advisory",06/7/2022,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
IMPACT LIFE CHURCH LTD.,201709148H,,17/7/2017,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Hougang Tao Mu Temple,T04SS0233B,,06/9/2005,"$1,000,000 and <$5,000,000",Religious,Deregistered,Taoism,"Ministry of Culture, Community and Youth"
HOPE PRESBYTERIAN CHURCH,T12SS0178D,Supports other Charities,15/3/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Hope Initiative Alliance,T04SS0054D,Direct Services,03/1/2020,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
HON SUI SEN ENDOWMENT CLG LIMITED,201109290W,"Financial assistance, bursaries & scholarships",05/9/2014,"$1,000,000 and <$5,000,000",Education,Deregistered,Foundations & Trusts,Ministry of Education
Holy Trinity Church,T08CC4070H,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
HOLY GRACE PRESBYTERIAN CHURCH,T13SS0016G,Direct Services,01/4/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HOLLANDSE SCHOOL LIMITED,198202285D,Training & education,02/4/1987,"$1,000,000 and <$5,000,000",Education,Registered,Foreign Educational Institutions/Funds,Ministry of Education
Holland Village Methodist Church,T12CC0004K,"Financial assistance, bursaries & scholarships",23/6/2012,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Help Family Service Centre,S92SS0027A,Direct Services,10/7/1992,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Family,Ministry of Social and Family Development
HEARTWARE NETWORK,T00SS0109G,Training & education,08/11/2000,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,"Ministry of Culture, Community and Youth"
HEALTHSERVE LTD.,200615440H,Direct Services,25/5/2011,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
HARVESTER COMMUNITY CHURCH LIMITED,198502251M,,06/12/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HALOGEN FOUNDATION (SINGAPORE),200308081M,Training & education,15/11/2003,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,"Ministry of Culture, Community and Youth"
HAI INN TEMPLE,S87SS0054F,Supports other Charities,13/3/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
GRACE METHODIST CHURCH,S87CC0503L,"Financial assistance, bursaries & scholarships",01/10/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GRACE BAPTIST CHURCH LIMITED,197903364W,,03/7/1985,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
God's Kingdom Bread of Life Church,T08SS0009A,Direct Services,07/1/2010,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GEYLANG EVANGELICAL FREE CHURCH LTD,198303071W,Direct Services,16/3/1999,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gethsemane Bible-Presbyterian Church,S95SS0088J,,30/7/1998,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GENERAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,S88CC0553H,Supports other Charities,22/1/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gateway Church Ltd,202036276E,,22/12/2021,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Galilee Bible-Presbyterian Church,S86SS0054A,Direct Services,25/5/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FRONTIER DANCELAND LTD.,201127710M,"Public awareness, promotion & advisory",20/10/2011,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
FORUM FOR THE FUTURE ASIA PACIFIC LIMITED,201331258E,Training & education,26/1/2016,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Foreign Domestic Worker Association for Social Support and Training (FAST),T05SS0103A,,21/11/2007,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Foo Hai Buddhist Cultural and Welfare Association,S98SS0092J,"Financial assistance, bursaries & scholarships",21/5/1999,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
FOCUS ON THE FAMILY SINGAPORE LIMITED,200108115N,,05/6/2002,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Family,Ministry of Social and Family Development
"First Evangelical Reformed Church, The (FERC)",S79SS0013H,,06/3/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FILOS COMMUNITY SERVICES LTD.,200408452G,Direct Services,19/8/2005,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
Feeha Cheng Seah Temple & Old Folks Home,S91SS0020B,,24/11/1992,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
FAR EASTERN BIBLE COLLEGE,T04CC1760B,Training & education,26/1/2004,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FAITHACTS,T04SS0050J,"Financial assistance, bursaries & scholarships",13/10/2004,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
Faith Church (Singapore),S97SS0159B,,07/4/2000,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Faith Bible-Presbyterian Church,S86SS0053E,Direct Services,16/12/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EVANGEL FAMILY CHURCH LTD,198403735R,,12/3/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Evangel Bible-Presbyterian Church,T09SS0023G,,12/3/2009,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EMCC,S97SS0164E,Direct Services,24/11/1998,"$1,000,000 and <$5,000,000",Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
ELIM CHURCH ASSEMBLY OF GOD,196200166K,Direct Services,02/1/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Electronics Industries Training Centre,S87SS0027A,Training & education,12/3/1987,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ELDERCARE TRUST,T00CC1448L,"Financial assistance, bursaries & scholarships",30/6/2000,"$1,000,000 and <$5,000,000",Health,Deregistered,Other Community-based Services,Ministry of Health
DRAMA BOX LTD.,200517863N,Direct Services,05/7/2006,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
Down Syndrome Association (Singapore),S96SS0170K,Direct Services,17/1/1997,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
DECK PHOTOGRAPHY ART CENTRE LTD.,201215478E,Research,30/3/2020,"$1,000,000 and <$5,000,000",Sports,Registered with IPC,Others,"Ministry of Culture, Community and Youth"
DAS ACADEMY LTD.,201003689Z,Training & education,14/11/2012,"$1,000,000 and <$5,000,000",Education,Registered,Local Educational Institutions/Funds,Ministry of Education
Darma Muneeswaran Temple Society,S81SS0052F,"Financial assistance, bursaries & scholarships",27/9/1994,"$1,000,000 and <$5,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
D.S. LEE FOUNDATION,200402751C,"Financial assistance, bursaries & scholarships",13/7/2004,"$1,000,000 and <$5,000,000",Sports,Registered with IPC,Others,Ministry of Health
CUESPORTS SINGAPORE,S65SS0011D,Training & education,19/1/2011,"$1,000,000 and <$5,000,000",Sports,Registered,NSAs,Sport Singapore
CREST SECONDARY SCHOOL,201136224W,"Public awareness, promotion & advisory",02/1/2012,"$1,000,000 and <$5,000,000",Education,Registered with IPC,Independent Schools,Ministry of Education
"COURAGE FUND, THE",T03CC1711A,Training & education,22/7/2003,"$1,000,000 and <$5,000,000",Unclassified,Deregistered,,Ministry of Health
CORNERSTONE COMMUNITY SERVICES,S96SS0151G,Direct Services,11/6/1997,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CLARITY SINGAPORE LIMITED,201021634E,Direct Services,03/12/2010,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Mental Health,Ministry of Health
City Missions Church - The City Church,S96SS0037D,Direct Services,17/10/1997,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church of the Good Shepherd (English Congregation),T18CC0004G,Direct Services,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Church of the Good Shepherd,T08CC4068D,"Financial assistance, bursaries & scholarships",,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Church of Singapore (Harvest),T01SS0044F,Direct Services,18/7/2002,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church of Singapore (Balestier),S90SS0068G,Direct Services,20/11/1991,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church of Our Saviour,T08CC4065E,Direct Services,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Church of God (Singapore),S95SS0105E,Training & education,26/1/1998,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Church of Christ of Malaya, The",S56SS0023C,Direct Services,22/3/1986,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Christian Gospel Mission,S76SS0041E,Training & education,07/5/1986,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHRISTALITE METHODIST CHAPEL,T05CC1904J,,14/9/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Chong Hua Tong Tou Teck Hwee,S80SS0015B,"Public awareness, promotion & advisory",27/9/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
"CHINESE KINDERGARTEN, THE",S85CC0182D,Direct Services,27/5/1985,"$1,000,000 and <$5,000,000",Education,Registered,Local Educational Institutions/Funds,Ministry of Education
"Chinese Calligraphy Society of Singapore, The",S68SS0039H,"Public awareness, promotion & advisory",03/6/2020,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
CHINESE ANNUAL CONFERENCE (PART OF METHODIST CHURCH IN SINGAPORE),S88CC0547J,Direct Services,16/1/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHIN LIEN BIBLE SEMINARY,S88CC0573G,"Financial assistance, bursaries & scholarships",23/5/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHILDREN'S WISHING WELL,200201465K,Direct Services,08/8/2002,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
"Children's Charities Association of Singapore, The",S66SS0023F,Supports other Charities,25/9/1984,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CHILD AT STREET 11 LTD.,199501798C,Direct Services,30/4/1999,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CHEN SU LAN TRUST,194900051D,,27/3/1985,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
"Chee Hwan Kog, Singapore",S66SS0044A,"Financial assistance, bursaries & scholarships",20/9/1985,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Chapel of the Resurrection (Mandarin Congregation),T08CC4063B,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Chapel of Christ the Redeemer,T08CC4060C,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Chapel of Christ the King,T08CC4059F,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
CENTRE 42 LIMITED,201403108H,Research,19/9/2014,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
CARMELITE NUNS (SINGAPORE) LTD.,201902997K,Supports other Charities,03/12/2019,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CARMELITE FRIARS (SINGAPORE) LTD.,201706443H,Direct Services,01/6/2018,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CARE CORNER SENIORS SERVICES LTD.,201533890R,Direct Services,03/11/2015,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
CARE CHANNELS INTERNATIONAL LTD.,200407361W,Direct Services,05/11/2004,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
CANOSSAVILLE CHILDREN AND COMMUNITY SERVICES,S87CC0462K,Direct Services,29/6/1987,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CAMBRIDGE ASSESSMENT SINGAPORE,201134707E,Training & education,13/8/2012,"$1,000,000 and <$5,000,000",Sports,Registered,Others,Ministry of Education
Calvary Pandan Bible-Presbyterian Church,T03SS0125D,,12/3/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Calvary Bible-Presbyterian Church,S86SS0051B,,28/2/1989,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CALVARY ASSEMBLY OF GOD LTD.,197901543W,Direct Services,31/3/1984,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CAKE THEATRICAL PRODUCTIONS LTD.,200513050G,Direct Services,30/10/2007,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
CAIRNHILL METHODIST CHURCH,T00CC1457J,,11/9/2000,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BUKIT TIMAH TUA PEK KONG TEMPLE,S78SS0011L,"Financial assistance, bursaries & scholarships",17/7/1985,"$1,000,000 and <$5,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Budi Centre,S99SS0047B,"Financial assistance, bursaries & scholarships",04/8/2000,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
"Buddhist Union, The",S61SS0023C,,27/9/1984,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
BUDDHIST TZU CHI MERIT ORGANIZATION (SINGAPORE) LTD.,201611166R,Direct Services,14/11/2016,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Buddhist Life Mission,T06SS0275B,,20/6/2008,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Buddha of Medicine Welfare Society,S95SS0132K,"Financial assistance, bursaries & scholarships",27/7/1999,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
BRIGHT HORIZONS FUND,200818009N,Training & education,18/11/2008,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
BRAHM CENTRE LTD.,200200167M,Direct Services,05/3/2012,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Mental Health,Ministry of Health
Boys' Brigade in Singapore,S62SS0041D,Training & education,29/6/1984,"$1,000,000 and <$5,000,000",Education,Registered with IPC,Uniformed Groups,Ministry of Education
BLUE CROSS CHARITABLE INSTITUTION,S61SS0049L,"Financial assistance, bursaries & scholarships",08/3/1985,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Eldercare,Ministry of Social and Family Development
BIBLICAL GRADUATE SCHOOL OF THEOLOGY,S90SS0045J,Training & education,17/8/1991,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Bethlehem Bible-Presbyterian Church,S86SS0050F,,09/3/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Bethesda Hall (Ang Mo Kio),T05SS0003K,Direct Services,04/2/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BETHESDA (BEDOK-TAMPINES) CHURCH LTD,198402921M,Direct Services,30/4/1986,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Basketball Association of Singapore,S67SS0001J,,21/6/2010,"$1,000,000 and <$5,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
Bao Gong Temple,T05SS0066F,"Public awareness, promotion & advisory",07/4/2006,"$1,000,000 and <$5,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
ASIAN VENTURE PHILANTHROPY NETWORK LIMITED,201016116M,"Public awareness, promotion & advisory",24/2/2011,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ASIAN PASTORAL INSTITUTE LIMITED,201512004R,Direct Services,21/6/2022,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ASIA PHILANTHROPY CIRCLE LTD.,201528607M,"Public awareness, promotion & advisory",29/9/2015,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ASIA PACIFIC BREWERIES FOUNDATION,S94CC1034B,Supports other Charities,23/7/1994,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ASIA CORNEA FOUNDATION,200804347D,"Public awareness, promotion & advisory",23/10/2008,"$1,000,000 and <$5,000,000",Sports,Registered,Others,Ministry of Health
Arulmigu Velmurugan Gnana Muneeswarar Temple,T00SS0127C,,26/5/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
ARTDIS (SINGAPORE) LTD.,199500567G,Direct Services,05/9/1995,"$1,000,000 and <$5,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
ARC CHILDREN'S CENTRE CO LIMITED,201021661K,Direct Services,10/11/2010,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
APSARAS ARTS LTD,200510112D,Direct Services,21/3/2018,"$1,000,000 and <$5,000,000",Arts and Heritage,Registered,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
Animal Concerns Research and Education Society,T01SS0121K,Training & education,11/1/2005,"$1,000,000 and <$5,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
Ang Chee Sia Ong Temple,S85SS0065H,Supports other Charities,19/9/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
AMAZING GRACE PRESBYTERIAN CHURCH,T12SS0143J,,21/7/1998,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
AlphaSingapore,T03SS0059A,Supports other Charities,02/12/2003,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ALL SAINTS MEMORIAL CHAPEL (SINGAPORE) LTD,199907126R,"Financial assistance, bursaries & scholarships",05/8/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
All Saints' Church (English Congregation),T08CC4058K,Supports other Charities,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
Alive Community Church,T03SS0128C,Supports other Charities,01/6/2004,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ALEXANDRA HEALTH FUND LIMITED,201427909W,Grantmaking,19/11/2014,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Trust/Research Funds,Ministry of Health
Action for Singapore Dogs Society,T02SS0132E,,29/5/2015,"$1,000,000 and <$5,000,000",Others,Registered,Animal Welfare,"Ministry of Culture, Community and Youth"
ACMI Migrant Fund,T16CC0006L,Direct Services,26/9/2016,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,201022774G,Direct Services,24/11/2010,"$1,000,000 and <$5,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
365 CANCER PREVENTION SOCIETY,T03SS0046H,"Public awareness, promotion & advisory",10/3/2003,"$1,000,000 and <$5,000,000",Sports,Registered with IPC,Others; Cancer Support,Ministry of Health
Zion Presbyterian Church,S90SS0056K,,15/3/1989,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ZION BISHAN BIBLE-PRESBYTERIAN CHURCH,T10SS0029G,,13/10/2010,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Youth With A Mission Training Centre,S96SS0040D,Training & education,04/3/1997,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Young Men's Christian Association of Singapore,S61SS0045E,"Public awareness, promotion & advisory",26/11/1985,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
YIO CHU KANG CHAPEL LTD,198100673K,Direct Services,29/11/1983,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
YELLOW RIBBON FUND (YRF),T04CC1808H,"Financial assistance, bursaries & scholarships",09/9/2004,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
YANGZHENG FOUNDATION,S90SS0076J,"Financial assistance, bursaries & scholarships",11/4/1991,"$5,000,000 and <$10,000,000",Education,Registered,Foundations & Trusts,Ministry of Education
XiSer CareServe,T05SS0221K,,12/7/2006,"$5,000,000 and <$10,000,000",Health,Registered,Nursing Home,Ministry of Health
Woodlands Evangelical Free Church,S64SS0047A,"Financial assistance, bursaries & scholarships",31/10/1984,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
WOH HUP TRUST,201129946W,"Financial assistance, bursaries & scholarships",09/11/2011,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
WILD RICE LTD,200100891D,Direct Services,01/7/2002,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
Whispering Hearts Family Service Centre,T03SS0057J,,08/7/2003,"$5,000,000 and <$10,000,000",Social and Welfare,Deregistered,Family,Ministry of Social and Family Development
WESLEY VINEYARD CHILDCARE LTD.,201437276K,Training & education,01/8/2015,"$5,000,000 and <$10,000,000",Social and Welfare,Deregistered,Children/Youth,Ministry of Social and Family Development
WEE FOUNDATION,200819361D,,15/12/2008,"$5,000,000 and <$10,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
WAT ANANDA METYARAMA,S99CC1374J,"Financial assistance, bursaries & scholarships",12/7/1999,"$5,000,000 and <$10,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Viriya Community Services,T01SS0059B,Direct Services,03/7/2001,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
